acronym,title,projectUrl,status,
QUAFETY,COMPREHENSIVE APPROACH TO ENHANCE QUALITY AND SAFETY OF READY TO EAT FRESH PRODUCTS,http://www.quafety.eu/,,
SMART-NANO,Sensitive MeAsuRemenT detection and identification of engineered NANOparticles in complex matrices,http://www.smartnano.org/,,
INSTANT,Innovative Sensor for the fast Analysis of Nanoparticles in Selected Target Products,http://www.instant-project.eu/index.php?id=22,,
NANODETECTOR,Ultrasensitive plasmonic detection of single nanoparticles,http://www.nanodetector.eu/doku.php,,
EPI-MIGRANT,Identification of epigenetic markers underlying increased risk of T2D in South Asians,http://www.epimigrant.eu/,,
ENGOV,Environmental Governance in Latin America and the Caribbean Developing Frameworks for Sustainable and Equitable Natural Resource Use,http://www.engov.eu/es/,,
SALSA,Knowledge based Sustainable vAlue added food chains innovative tooLs for monitoring ethical environmental and Socio economical impActs and implementing Eu Latin America shared strategies,http://www.salsaproject.eu/,,
MAITRE,Media Actions for International Training of REsearchers,http://www.maitreproject.eu/,,
HURAPRIM,Human Resources for Primary Health Care in Africa,http://www.huraprim.ugent.be/,,
QSAFFE,Quality and Safety of Feeds and Food for Europe,http://www.qsaffe.eu/,,
NORFACE II,New Opportunities for Research Funding Agency Co operation in Europe II,http://www.norface.org/,,
CRISYS,Critical Response in Security and Safety Emergencies,http://www.crisys-project.eu/,,
RAPPORT,Building RAPPORT Between Small And Medium Sized Enterprises And Public Or Private Research Capabilities,http://www.rapport-project.com/,,
AFTER,African Food Tradition Revisited by Research,http://www.after-fp7.eu/,,
SECOA,SOLUTIONS for ENVIRONMENTAL CONTRASTS in COASTAL AREAS,http://www.projectsecoa.eu/,,
CHANCES,Consortium on Health and Ageing Network of Cohorts in Europe and the United States,http://www.chancesfp7.eu/,,
EUROSTEMCELL,European Consortium for Communicating Stem Cell Research,http://www.eurostemcell.org/,,
JUSTBRAIN,Blood brain barrier junctions as targets for paracellular drug delivery to the brain,http://www.justbrain-fp7.eu/index.php?id=764,,
EUROCHIP,European Obesity Consortium studying the Hypothalamus and its Interaction with Peripheral organs,http://www.eurochip-obesity.com/,,
PARADISE,Psychosocial fActors Relevant to BrAin DISorders in Europe,http://paradiseproject.eu/,,
SILENV,Ships oriented Innovative soLutions to rEduce Noise Vibrations,http://www.silenv.eu/,,
ICEWIN,Innovative Icebreaking Concepts for Winter Navigation,http://www.vtt.fi/sites/icewin,,
DESICOS,New Robust DESIgn Guideline for Imperfection Sensitive COmposite Launcher Structures,http://www.desicos.eu/,,
NANOLYSE,Nanoparticles in Food Analytical methods for detection and characterisation,http://www.nanolyse.eu/default.aspx,,
AGEDBRAINSYSBIO,SYSTEMS BIOLOGY OF PATHWAYS INVOLVING BRAIN AGEING,http://www.agedbrainsysbio.eu/,,
NANOPYME,Nanocrystalline Permanent Magnets Based on Hybrid Metal Ferrites,http://nanopyme-project.eu/,,
SAFUEL,The SAfer FUEL system,http://www.safuel-fp7.eu/,,
EMILI,Emergency Management in Large Infrastructures,http://www.emili-project.eu/,,
EPC-TM-NET,Targeting the tumour microenvironment to improve pancreatic cancer prognosis,http://epcnet.eu/,,
EUMAGINE,Imagining Europe from the outside On the role of democracy and human rights perceptions in constructing migration aspirations and decision towards Europe,http://www.eumagine.org/,,
PPACTE,Pricing Policies and Control of Tobacco in Europe,http://www.tri.ie/ppacte.html,,
ASPA,Activating Senior Potential in Ageing Europe,http://www.aspa-eu.com/,,
ASSPRO CEE 2007,Assessment of patient payment policies and projection of their efficiency equity and quality effects The case of Central and Eastern Europe,http://www.assprocee2007.com/,,
SHIPARRESTOR,Development of a combined sea anchor and connector to be deployed by helicopter in order to prevent sea vessels in drift from grounding or colliding with offshore installations,http://www.mikomarine.com/products/shiparrestor/,,
NET4SOCIETY2,Trans national co operation among National Contact Points for Socio economic sciences and the Humanities SSH NCPs,http://www.net4society.eu/,,
MNT-ERA.NET II,Micro and Nano Technologies for a new highly competitive European industry,http://www.mnt-era.net/MNT/index.html,,
RITD,Re entry inflatable technology development in Russian collaboration,http://metnet.fmi.fi/index.php?id=ritd,,
ACCMET,Accelerated Metallurgy the accelerated discovery of alloy formulations using combinatorial principles,http://www.accmet-project.eu/,,
MAIRES,Monitoring Arctic Land and Sea Ice using Russian and European Satellites,http://maires.nersc.no/,,
FOODCONFERENCE,Food and nutrition in the 21st century,http://www.foodconference2011.inhort.pl/,,
CLEANSPACE,Small debris removal by laser illumination and complementary technologie,http://www.clean-space.eu/,,
LABOHR,Lithium Air Batteries with split Oxygen Harvesting and Redox processes,http://labohr.eu/,,
BIOSMHARS,BIOcontamination Specific Modeling in HAbitats Related to Space,http://www.biosmhars.eu/,,
PROMETHEUS,PROcess contaminants Mitigation and Elimination Techniques for High food quality and their Evaluation Using Sensors Simulation,http://processing-contaminants-prometheus.com/index.php,,
SPREAD,Social Platform identifying Research and Policy needs for Sustainable Lifestyles,http://www.sustainable-lifestyles.eu/,,
CANCERALIA,Development of novel diagnostic and therapeutic approaches to improve patient outcome in lung and pancreatic tumours,http://www.canceralia.eu/,,
FOODSEG,Safe Food for Europe Coordination of research activities and Dissemination of research results of EC funded research on food safety,http://www.foodseg.net/,,
INOMANS²HIP,INOvative Energy MANagement System for Cargo SHIP,http://inomanship.eu/,,
MARINE FUNGI,Natural products from marine fungi for the treatment of cancer,https://www.marinefungi.eu/,,
ALGATEC,Biotechnological recycle of olive mills washing water by microalgae,http://www.algatec.net/,,
MOSAIC,Multi Modal Situation Assessment Analytics Platform,http://www.mosaic-fp7.eu/,,
PANACREAS,Integrating chemical approaches to treat pancreatic cancer making new leads for a cure,http://www.panacreas.eu/,,
SAPIENT,Supporting fundamentAl rights PrIvacy and Ethics in surveillaNce Technologies,http://www.sapientproject.eu/about.html,,
REVUS,Reducing the Vulnerability of Space Systems,http://www.revus-project.eu/,,
SPACECAST,Protecting space assets from high energy particles by developing European dynamic modelling and forecasting capabilities,http://fp7-spacecast.eu/,,
HEPTROMIC,Genomic predictors and oncogenic drivers in hepatocellular carcinoma,http://www.heptromic.eu/,,
SWITCHBOX,Switchbox Maintaining health in old age through homeostasis,http://www.switchbox-online.eu/,,
CRYOLAND,GMES Service Snow and Land Ice,http://www.cryoland.eu/,,
OPERR,Operational Pan European River Runoff,http://www.smhi.se/en/research/research-departments/oceanography/operr-operational-pan-european-river-runoff-1.16820,,
PEVNET,Persistent virus infection as a cause of pathogenic inflammation in type 1 diabetes an innovative research program of biobanks and expertise,http://www.uta.fi/med/pevnet/index.html,,
GLYCOHIT,Glycomics by High throughput Integrated Technologies,http://glycohit.eu/,,
MITOCARE,Treatment of reperfusion injury using a mitochondrial targeted approach towards a better understanding of the disease,http://www.mitocare.eu/,,
OPTI-ALERT,Opti Alert Enhancing the efficiency of alerting systems through personalized culturally sensitive multi channel communication,http://www.opti-alert.eu/,,
BCA_GRAPE,New biocontrol agents for powdery mildew on grapevine,http://www.bca-grape.eu/Project_description.cfm,,
NANOCHANNELS,Engaging European stakeholders in debating NANOtechnology issues using a range of media CHANNELS,http://www.nanochannelsFP7.eu/,,
AFROMAISON,Africa at a meso scale Adaptive and integrated tools and strategies for natural resources management,http://www.afromaison.net/,,
SACOMAR,Technologies for Safe and Controlled Martian Entry,http://www.dlr.de/as/en/desktopdefault.aspx/tabid-194/407_read-32229/,,
ULTRAFINEWINE,Novel method for assisting and accelerating the aging process of wine,http://www.wineaging.co.nz/,,
GLOWASIS,A collaborative project aimed at pre validation of a GMES Global Water Scarcity Information Service,http://glowasis.eu/,,
SEPSERVER,Data Services and Analysis Tools for Solar Energetic Particle Events and Related Electromagnetic Emissions,http://www.sepserver.eu/sepserver/,,
ESAIL,Electric sail propulsion technology,http://www.electric-sailing.fi/fp7/,,
DIATOOLS,Tools for minimally invasive diagnostics,http://www.diatools.org/,,
EDEFU,New Designs of Ecological Furnaces,http://www.edefu.eu/,,
FOD-CC,FRAILTY OPERATIVE DEFINITION CONSENSUS CONFERENCE,http://www.fod-cc.com/,,
SPA,Support to Precursor SSA Services,http://www.eusc.europa.eu/index.php?option=com_content&task=view&id=60&Itemid=84,,
MOCCCASIN,MOnitoring Crops in Continental Climates through Assimilation of Satellite INformation,http://www.mocccasin.eu/,,
FRESHMON,High Resolution Freshwater Monitoring FreshMon GMES Downstream Services,http://www.freshmon.eu/,,
ALLFUN,Fungi in the setting of inflammation allergy and autoimmune diseases Translating basic science into clinical practices,http://www.allfun-fp7.eu/,,
VALUEPOLE,An extended Value Chain model for performance Prediction and Optimisation of product and process Lifecycles for SMEs,http://www.valuepole.eu/,,
ECOSEASAFE,Development of a sustainable and cost effective ballast water treatment technology with reverse pulsed DC electric field that excludes formation of oxidising free radicals,http://ecoseasafeproject.com/,,
QUALIREDFRUITS,New agricultural practices for quality production of red fruits enriched in healthy compounds,http://qualiredfruits.eu/front-page-fr,,
REFRESH,Green technology for fresh water sea transportation based on a flexible containers system,http://www.refresh-fp7.eu/,,
BIOLISME,Speedy system for sampling and detecting Listeria monocytogenes in agro food and related European industries,http://www.biolisme.eu/bases/biolisme.nsf/webContents/Bienvenidos,,
ELECTROEXTRACTION,Protein electroextraction coupled to direct sorption a new route for primary recovery of intracellular bioproducts from industrial yeast,http://www.electroextraction.org/,,
DEVAPRO,Development of a variable warm forging process chain,http://www.devapro.de/,,
FALLWATCH,A wearable miniaturized fall detection system for the elderly,http://www.fallwatch-project.eu/,,
LAMAND,Large Area Molecularly Assembled Nanopatterns for Devices,http://project.tyndall.ie/lamand/?q=projects/lamand/,,
SALIANT,Selective Antibodies Limited Immuno Assay Novel Technology,http://www.saliant.eu/home,,
CORENET,Customer oriented and eco friendly networks for healthy fashionable goods,http://www.corenet-project.eu/,,
NANOSPEC,Nanomaterials for harvesting sub band gap photons via upconversion to increase solar cell efficiencies,http://www.nanospec.eu/,,
TEXWIN,Textile Work Intelligence by hierarchical closed loop control for product and process quality in the Textile Industry,http://www.texwin.eu/,,
MANUCLOUD,Distributed Cloud product specification and supply chain manufacturing execution infrastructure,http://www.manucloud-project.eu/,,
TREATRUSH,Fighting blindness of Usher syndrome diagnosis pathogenesis and retinal treatment TreatRetUsher,http://treatrush.eu/,,
SUBCTEST,Development of novel Non Destructive Testing NDT techniques and autonomous robots to be deployed by Remote Operating Vehicles ROVs for the sub sea inspection of offshore structure welds,http://www.subctest.com/,,
RESOLIVE,Adaptation of renewable energies technologies for the olive oil industry,http://resolive.com/,,
PHOCAM,Photopolymer based customized additive manufacturing technologies,http://www.phocam.eu/doku.php,,
3MICRON,Three modality contrast imaging using multi functionalized microballoons,http://www.3micron.eu/,,
WHEYLAYER,Whey protein coated plastic films to replace expensive polymers and increase recyclability,http://www.wheylayer.eu/,,
ULTRAFIBRE,New manufacturing infrastructure for the production of high quality Natural Fibres,http://www.ultrafibre.org/,,
MUSSELSALIVE,Development of best practice and new technology for grading handling transportation conditioning and storage of mussels for SMEs in the European mussel industry,http://www.musselsaliveproject.com/,,
COOL-COVERINGS,Development of a novel and cost effective range of nanotech improved coatings to substantially improve NIR Near Infrared Reflective properties of the building envelope,http://www.coolcoverings.org/,,
PLANTLIBRA,PLANT food supplements Levels of Intake Benefit and Risk Assessment,http://www.plantlibra.eu/web/,,
CHANCE2SUSTAIN,Urban Chances City growth and the sustainability challenge Comparing fast growing cities in growing economies,http://www.chance2sustain.eu/7.0.html,,
NASPE,NAnomechanical Screening of Pharmaceutical Entities,http://www.ing.unibs.it/~naspe/,,
EPOSBED,Easy positioning of in bed patients with reduced mobility,http://www.eposbed.com/,,
GLOBAL-BIO-PACT,Global Assessment of Biomass and Bioproduct Impacts on Socio economics and Sustainability,http://www.globalbiopact.eu/,,
PRATH,Preclinical study of Recombinant human Anti C5 for the Treatment of atypical HUS,http://www.prath.eu/,,
GEO-PICTURES,GMES and Earth Observation with Position based Image and sensor Communications Technology for Universal Rescue Emergency and Surveillance management,http://www.geo-pictures.eu/,,
SUSTAVINO,Integrated Approaches for Sustainable European Wine Production,http://www.sustavino.eu/,,
MIDAS,Millimetre wave Integrated Diode and Amplifier Sources,http://www.ralspace.stfc.ac.uk/RALSpace/,,
MEDIAACT,Media Accountability and Transparency in Europe,http://www.mediaact.eu/,,
IMCOSEC,Integrated approach to IMprove the supply chain for COntainer transport and integrated SECurity simultaneously,http://www.imcosec.eu/,,
NANOCOM,Lowering Barriers for Nanotechnology Commercialisation via Open Innovation,http://www.nanocom-eu.org/,,
FIRE SHIELD,An Innovative Soft Skinned Fire Resistant Cable for Fire Safety Applications Manufactured Using Integrated Cold Gas Dynamic Spraying and Polymer Extrusion Technologies,http://fireshield.uk-matri.org/,,
BIOSTAT-CHF,A systems BIOlogy Study to TAilored Treatment in Chronic Heart Failure,http://www.biostat-chf.eu/,,
HEELLESS,Development of a heelless shoe to reduce injury during running,http://www.heelless.org/,,
FOIRCEV,Fire hose Excellent Manufacturing by means of an Innovative Rubber Compounding Extrusion Vulcanization process,http://www.foircev.eu/,,
HQ-TUBES,High Quality Tube and Pipe Production by Hybrid Welding,http://www.ilt.fraunhofer.de/,,
PROECLAIR,Automated process for stable preservative free pastry base mix for high added value bakery goods to increase the competitiveness of SME bakeries,http://www.proeclair.fraunhofer.eu/,,
HYFFI,Hydrocolloids as functional food ingredients for gut health,http://www.seaweedforhealth.org/,,
BRAINHEALTHFOOD,Bioactive compounds from blackcurrant processing waste for brain health,http://www.ttz-bremerhaven.de/en/research/food/research-projects/870-brainhealthfood.html,,
GINI,Growing Inequalities Impacts,http://www.gini-research.org/articles/home,,
NANODIARA,Development of novel nanotechnology based diagnostic systems for Rheumatoid Arthritis and Osteoarthritis,http://www.nanodiara.eu/,,
RICHE,RICHE a platform and inventory for child health research in Europe,http://www.childhealthresearch.eu/,,
MONARCH-A,Monitoring and Assessing Regional Climate change in High latitudes and the Arctic,http://www.nersc.no/project/monarch,,
ORECCA,Off shore Renewable Energy Conversion platforms Coordination Action,http://www.orecca.eu/web/guest,jsessionid=760E6D38EEBA4164A67FE945981111E8,
MICCS,Methodology for fast and reliable Investigation and Characterization of Contaminated Sites,http://www.miccs.eu/,,
C-SPACE,Conditions for Space Policy and related Action Plan Consolidation in Europe,http://www.c-space-eu.org/index.php,,
PIEZOVOLUME,High volume piezoelectric thin film production process for microsystems,http://www.piezovolume.com/,,
EFP,European Foresight Platform supporting forward looking decision making,http://www.foresight-platform.eu/,,
SUNPAP,Scale Up Nanoparticles in Modern Papermaking,http://sunpap.vtt.fi/,,
ADDNANO,The development and scale up of innovative nanotechnology based processes into the value chain of the lubricants market,https://sites.google.com/site/addnanoeu/,,
WALQING,Work and Life Quality in New and Growing Jobs,http://www.walqing.eu/,,
LEGIOTEX,Continuous bactericide water filtration for the prevention of Legionella contamination in large public and industrial facilities,http://www.logrotex.com/productos/legiotex,,
NANOBOND,Integration of emerging soft nanotechnology into the functionalisation of textiles,http://www.nanobond.org/,,
MARINA PLATFORM,Marine Renewable Integrated Application Platform,http://www.marina-platform.info/,,
NOVA-CI(G)S,Non vacuum processes for deposition of CI G S active layer in PV cells,https://www.tu-chemnitz.de/mb/DigiTech/projects/project-nova-cigs.php,,
NMP-MANUFUTURE,EUROPEAN INDUSTRIAL BREAKTHROUGH LEADING TOWARDS AN INTEGRATED COMPETITIVE SUSTAINABLE INDUSTRY,http://www.industrial-technologies2010.eu/,,
TECHEESE,SOLVING THE TECHNOLOGICAL PROBLEMS OF SHEEP CHEESE PRODUCTION,http://www.techeese.eu/,,
NORFACE PLUS,NORFACE Transnational Programme on Migration in Europe,http://www.norface-migration.org/,,
CURARE,Computer aided laser surface treatment and combined nitriding of forging dies with the objective of a lifetime increase,http://www.ipt.fraunhofer.de/en/Competencies/processtechnology/Projects/Curare.html,,
HEDRAD,High Energy Digital Radiography,http://www.hedrad.com/,,
ROK-FOR,Sustainable forest management providing renewable energy sustainable construction and bio based products,http://www.rokfor.eu/,,
INGENIOUS,Innovative Nanostructured Optochemical Sensors,https://www.tno.nl/nl/,,
EUROPIC,European Manufacturing Platform For Photonic Integrated Circuits,http://europic.jeppix.eu/,,
CONTEMP,Self Learning Control of Tool Temperature in Cutting Processes,http://www.contemp.org/,,
WORKABLE,Making Capabilities Work,http://www.workable-eu.org/,,
NEXT-GTL,Innovative Catalytic Technologies Materials for Next Gas to Liquid Processes,http://www.next-gtl.eu/,,
SYNCSEN,ULTRA LOW POWER WIRELESS SENSOR NETWORK FOR METERING APPLICATIONS,http://syncsen.com/,,
TAILORTOOL,Development of New Tool Materials with Tailored Thermomechanical Properties,http://tailortool.ctm.com.es/,,
SILTRANS,Micro and Nanocrystalline Silicide Refractory Metals FGM for Materials Innovation in Transport Applications,http://www.siltrans.sav.sk/,,
SONO,A pilot line of antibacterial and antifungal medical textiles based on a sonochemical process,http://www.fp7-sono.eu/,,
DIVAS,Diversification for Tobacco Growing Farms by the alternative crop Stevia rebaudiana Bertoni,http://cordis.europa.eu/search/simple_en,,
ENNSATOX,Engineered Nanoparticle Impact on Aquatic Environments Structure Activity and Toxicology,http://www.ennsatox.eu/?contentid=260,,
POLYFIRE,Processing and Upscaling of Fire Resistant Nano Filled Thermosetting Polyester Resin,http://www.polyfireproject.eu/,,
SOMMACT,SELF OPTIMISING MEASURING MACHINE TOOLS,http://www.sommact.eu/portal/,,
SELF-LEARNING,Reliable Self Learning Production Systems Based on Context Aware Services,http://www.selflearning.eu/index.php?id=project_overview,,
SELFMEM,Self Assembled Polymer Membranes,http://www.selfmem.eu/,,
PROSYS-LASER,Intelligent personal protective clothing for the use with high power hand held laser processing devices,http://www.prosyslaser.eu/,,
HINAMOX,Health Impact of Engineered Metal and Metal Oxide Nanoparticles Response Bioimaging and Distribution at Cellular and Body Level,http://www.hinamox.eu/,,
RAILECT,Development of an ultrasonic technique sensors and systems for the volumetric examination of alumino thermic rail welds,http://www.railect.com/,,
FIRELI,Fire Retardant Line Hoses for Forestry Fire Fighting Applications,http://www.fireli.eu/,,
NANOFOODS,Development of foods containing nanoencapsulated ingredient,http://allegati.unina.it/ricerca/programmaQuadro/2010/PQ7_CAPACITIES/02PMI/PrgFin_01_Nanofoods.pdf,,
BACWIRE,Bacterial Wiring for Energy Conversion and Remediation,http://www.bacwire.eu/,,
ALPINE,Advanced Lasers for Photovoltaic INdustrial processing Enhancement,http://www.project-alpine.eu/,,
CLEANCLOTH,Development of an Antibacterial Cloth Based on Microfibre,http://www.cleanclothproject.com/,,
HYCON,Hygienic and Energy Optimized Conveyor Belt for the Slaughtering Industry,http://www.hyecon.com/,,
ARIADNA,Maritime Assisted Volumetric Navigation System,http://www.ariadna-fp7.eu/,,
SILCO,Innovative electrodes to control trace metal ionization used to treat Legionella and other pathogens in water distribution systems,http://www.hollandwater.nl/nl,,
SECUREAU,Security and decontamination of drinking water distribution systems following a deliberate contamination,http://www.secureau.eu/index.php?id=3,,
INSIDEFOOD,Integrated sensing and imaging devices for designing monitoring and controlling microstructure of foods,http://www.insidefood.eu/,,
OXIDES,Engineering Exotic Phenomena at Oxide Interfaces,http://www.oxides.ulg.ac.be/,,
NANOCLEAN,Optimisation and upscaling of self cleaning surfaces for automotive sector by combining tailored nanostructured machined injection tools and functional thermoplastic nanocompounds,http://www.nanoclean-project.eu/,,
SOM,Support and Opposition to Migration A cross national comparison of the politicization of migration,https://sites.google.com/site/somprojecteu/,,
CORNET II,Collective Research ERA NET II,http://www.cornet-era.net/,,
EURACOM,EUropean Risk Assessment and COntingency planning Methodologies for interconnected energy networks,http://www.eos-eu.com/Middle.aspx?Page=euracom,,
PRIORITY,Protecting the food chain from prions shaping European priorities through basic and applied research,http://www.scheidenpilz.co/,,
SNAPPER,The development of a novel rare earth magnet based wave power conversion system Snapper,http://www.snapperfp7.eu/,,
INNOYEAST,INNOVATION AND IMPROVEMENT OF EUROPEAN WINE INDUSTRY COMPETITIVENESS BY THE RESEARCH AND DEVELOPMENT OF NATIVE MICROENCAPSULATED WINE YEASTS TO PRODUCE QUALITY WINES,http://www.modnetorebki.eu/,,
FUNENTECH,Study of functionality nutritional and safety aspects of liquid foods liquid food preparations and cosmetics processed by ultra high pressure homogenisation,http://grupsderecerca.uab.cat/funentech/,,
PIDOP,Processes Influencing Democratic Ownership and Participation,http://www.edu.unibo.it/it/ricerca/pidop-conference-11-12-may-2011,,
SAFE HEAT,A Novel Conductive Surface for Efficient Heating of Bulk Containers and Drums,http://www.safeheat.eu/,,
MONAMI,Modeling of Nano scaled Advanced Materials Intelligently,http://www.iacs.res.in/monami/Home.html,,
EULASUR,Network in Advanced Materials and Nanomaterials of industrial interest between Europe and Latin American Countries of MERCOSUR Argentina Brazil Uruguay,http://projects.icmab.es/eulasur/,,
ENPRA,RISK ASSESSMENT OF ENGINEERED NANOPARTICLES,http://www.enpra.eu/,,
3D-NANOBIODEVICE,Three dimensional nanobiostructure based self contained devices for biomedical application,http://www.mah.se/3Dnanobiodevice,,
CAMINEMS,Integrated Micro Nano Opto Fluidic systems for high content diagnosis and studies of rare cancer cells,http://www.caminems.eu/,,
ADGLASS,Adhesion and Cohesion at Interfaces in High Performance Glassy Systems,http://www.adglass.eu/,,
NASA-OTM,NAnostructured Surface Activated ultra thin Oxygen Transport Membrane,http://www.nasa-otm.eu/,,
MAGNONICS,Magnonics Mastering Magnons in Magnetic Meta Materials,http://www.magnonics.org/,,
INLIVETOX,Intestinal Liver and Endothelial Nanoparticle Toxicity Development and evaluation of a novel tool for high throughput data generation,http://www.inlivetox.eu/,,
NANOGOLD,SELF ORGANIZED NANOMATERIALS FOR TAILORED OPTICAL AND ELECTRICAL PROPERTIES,http://archiveweb.epfl.ch/nanogold.epfl.ch/,,
LEARNFORM,Self Learning Sheet Metal Forming System,http://www.learnform.eu/,,
FINNOV,Finance Innovation and Growth Changing Patterns and Policy Implications,http://www.finnov-fp7.eu/,,
SMD,Single or few molecules detection by combined enhanced spectroscopies,https://erp.cbm.fvg.it/,,
ODICIS,ODICIS One DIsplay for a Cockpit Interactive Solution,http://www.odicis.org/,,
MACC,Monitoring Atmospheric Composition and Climate,http://www.gmes-atmosphere.eu/,,
INFU,Innovation Futures in Europe A Foresight Exercise on emerging Patterns of Innovation Visions Scenarios and Implications for Policy and Practice,http://www.sustainable-everyday-project.net/innovation-futures/,,
FLOODSTAND,Integrated Flooding Control and Standard for Stability and Crises Management,http://floodstand.aalto.fi/index.html,,
IRIS,Integrated European Industrial Risk Reduction System,http://www.iris-safety.eu/,,
CARDIOCELL,Development of cardiomyocyte replacement strategy for the clinic,http://www.cardiocell.org/,,
POLYZION,Fast Rechargeable Zinc Polymer Battery based on Ionic Liquids,http://www.polyzion.eu/,,
MEDEA,Models and their Effects on Development paths an Ethnographic and comparative Approach to knowledge transmission and livelilhood strategies,http://www.medeasteelproject.org/,,
NANODEVICE,Novel Concepts Methods and Technologies for the Production of Portable Easy to Use Devices for the Measurement and Analysis of Airborne Engineered Nanoparticles in Workplace Air,http://www.nano-device.eu/,,
AGRIFOODRESULTS,European Initiative for a better use of the results of agri food research,http://www.agrifoodresults.eu/,,
CEED3,Collaborative European effort to Develop Diabetes Diagnostics,http://www.ceed3.org/,,
BASEFOOD,Sustainable exploitation of bioactive components from the Black Sea Area traditional foods,http://www.basefood-fp7.eu/,,
TERPMED,Plant Terpenoids for Human Health a chemical and genomic approach to identify and produce bioactive compounds,http://www.terpmed.eu/,,
MONFISPOL,Modeling and Implementation of Optimal Fiscal and Monetary Policy Algorithms in Multi Country Econometric Models,http://www.monfispol.eu/,,
POLYMODE,Novel Polysaccharide Modifying Enzymes to Optimise the Potential of Hydrocolloids for Food and Medical Applications,http://www.polymode.eu/,,
DIRECTSPARE,Strengthening the industries competitive position by the development of a logistical and technological system for spare parts that is based on on demand production,http://www.directspare.eu/,,
HIPER-ACT,Novel technology for HIgh PERformance piezoelectric Actuators,http://www.hiperact.org/,,
NANOBE,Nano and microtechnology based analytical devices for online measurements of bioprocesses,http://www.vtt.fi/sites/nanobe/?lang=en,,
SHRINK SMART,Governance of shrinkage within a European context,http://www.ufz.de/shrinksmart/,,
ATLAS,Development of Laser Based Technologies and Prototype Instruments for Genome Wide Chromatin ImmunoPrecipitation Analyses,http://projetatlas.univ-paris1.fr/,,
NANO-TV,Enhancing public awareness on the results of European research actions on Nanosciences and Nanotechnologies through the professional use of television media and the internet,http://www.youris.com/,,
INFLA-CARE,Understanding inflammation associated tumorigenesis for the rational design of novel anti cancer therapeutic strategies,http://inflacare.imbb.forth.gr/,,
CO-NANOMET,COordination of NANOMETrology in Europe,http://www.co-nanomet.eu/,,
CIT-PART,Impact of Citizen Participation on Decision Making in a Knowledge Intensive Policy Field,http://www.cit-part.at/,,
REPRO,Reproductive decision making in a macro micro perspective,http://vidrepro.oeaw.ac.at/,,
MORGAN,Materials for Robust Gallium Nitride,http://www.morganproject.eu/,,
IMPALA,Intelligent Manufacture from Powder by Advanced Laser Assimilation,http://www.impala-project.eu.com/home/home_page_static.jsp,,
NANORETOX,THE REACTIVITY AND TOXICITY OF ENGINEERED NANOPARTICLES RISKS TO THE ENVIRONMENT AND HUMAN HEALTH,http://www.nanoretox.eu/,,
NEURONANO,Do nanoparticles induce neurodegenerative diseases Understanding the origin of reactive oxidative species and protein aggregation and mis folding phenomena in the presence of nanoparticles,http://www.neuronano.eu/,,
COMPOLIGHT,CompoLight Rapid Manufacturing of lightweight metal components,http://compolight.dti.dk/,,
MESSIB,Multi source Energy Storage System Integrated in Buildings,http://www.messib.eu/,,
GRASP,Green Advanced Space Propulsion,https://www.grasp-fp7.eu/grasp/,,
ANOPOPAGE,Population age structure and age structure modification via Wolbachia in Anopheles gambiae,http://cordis.europa.eu/project/rcn/89719_en.html,,
EUROCOURSE,Europe against Cancer Optimisation of the Use of Registries for Scientific Excellence in research,http://www.eurocourse.org/,,
NANOTHER,Integration of Novel Nanoparticle based Technology for Therapeutics and Diagnosis of different types of Cancer,http://www.nanother.eu/,,
TIGI,Towards an innovative galvanic industry,http://www.tigi-innovation.com/,,
CHEARTED,Gene Environment Interactions in Heart Development,http://www.chearted.eu/,,
LIFECYCLE,Building a biological knowledge base on fish lifecycles for competitive sustainable European aquaculture,http://www.lifecycle-fp7.eu/,,
G-MOSAIC,G MOSAIC GMES services for Management of Operations Situation Awareness and Intelligence for regional Crises,http://www.gmes-gmosaic.eu/,,
EFIGE,European Firms In a Global Economy Internal policies for external competitiveness,http://bruegel.org/efige/,,
SUSTAINCOMP,Development of Sustainable Composite Materials,http://www.sustaincomp.eu/,,
H-KNOW,Advanced Infrastructure for Knowledge Based Services for Buildings Restoring,http://h-know.eu/,,
MULTILAYER,Rolled multi material layered 3D shaping technology,http://multilayer.4m-association.org/,,
DEMHOW,Demographic Change and Housing Wealth,http://www.birmingham.ac.uk/research/activity/social-policy/chasm/projects/demhow.aspx,,
MULTILINKS,How demographic changes shape intergenerational solidarity well being and social integration A multilinks framework,http://www.multilinks-project.eu/,,
YOUNEX,Youth unemployment and exclusion in Europe A multidimensional approach to understanding the conditions and prospects for social and political integration of young unemployed,http://www.younex.unige.ch/,,
NANOMAGDYE,MAGNETIC NANOPARTICLES COMBINED WITH SUBMICRONIC BUBBLES AND DYE FOR ONCOLOGING IMAGING,http://www.nanomagdye.fr/,,
NANOINDENT,Creating and disseminating novel nanomechanical characterisation techniques and standards,http://www.nanoindent.eu/,,
ADACOM,Adaptive Control for Metal Cutting,http://www.adacom.eu.com/about.aspx,,
MODSIMTEX,Development of a rapid configuration system for textile production machinery based on the physical behaviour simulation of precision textile structures,http://www.modsimtex.eu/,,
CORONA,Customer Oriented Product Engineering of Micro and Nano Devices,http://www.corona-mnt.eu/,,
CHAMELEON,Production Dependent Adaptive Machine Tool,http://www.chameleonproject.eu/,,
NOVELTREE,Novel tree breeding strategies,http://www.noveltree.eu/,,
