acronym,title,foundProjectUrl1,classification
RSM BCA2,CHARACTERIZATION OF THE ANTIVIRAL ACTIVITY OF BCA2,http://www.mdpi.com/search?q=MCF-7&page_no=3&view=abstract,0
MAGNUM BONUM,Modelling of human body and protective textiles for estimation of skin sensorial comfort and life risk of fire fighters working in extreme external conditions,http://www.researchportal.be/en/projects/search.html?page=10&pageSize=50&ordering=startdate&descending=true&classifications=S270_iwDisciplineCode&classificationPath=T000_iwDisciplineCode,0
NANOHAPY,Nanomedicine and Hadrontherapy,http://www.thefreedictionary.com/synthetizes,0
ENLIFE,Engineering life ideas practices and promises,https://erc.europa.eu/engineering-life-ideas-practices-and-promises,0
PHOCATSORS,Photoredox Catalysis for Sustainable Organic Synthesis,http://www.research.ed.ac.uk/portal/en/projects/phocatsors-photoredox-catalysis-for-sustainable-organic-synthesis(15058d7a-3dc7-4d44-a2b7-3ddf4b5da5e1).html,0
FIRST,Functional Imaging and Robotics for Sensorimotor Transformation,http://www.relab.ethz.ch/research/current-research-projects/functional-imaging-and-robotics-for-sensorimotor-transformation.html,0
CO-SUPERALLOYS APT,Development of Next Generation Cobalt Superalloys Understanding and Limiting Microstructure Degradation and Creep,http://www.science.gov/topicpages/i/inconel+738lc+superalloy.html,0
BEEFUN,Pollinator responses to global change and its implications for ecosystem function,http://intl.pnas.org/content/113/1/146.full,0
SOLAR BEYOND SILICON,Nanoengineering High Performance Low Cost Perovskite Solar Cells Utilising Singlet Fission Materials,http://www.european-mrs.com/2014-spring-symposium-aa-european-materials-research-society,0
TPAB,Toward a Phenomenology of the Anxious Body,http://acronyms.thefreedictionary.com/TPAB,0
FLARES,Flares throughout the solar atmosphere,https://en.wikipedia.org/wiki/Talk:Solar_flare,0
MANU,Marine Aerosol NUcleations,http://www.icm.csic.es/en/icm-leads-next-antarctic-cruise-explores-influence-marine-plankton-cloud-formation,0
PATHPHYLODYN,Pathogen Phylodynamics Unifying Evolution Infection and Immunity,http://erc.europa.eu/projects-and-results/erc-funded-projects?f[0]=sm_field_cordis_project_funding%3AConsolidator%20Grants%20%28CoG%29&f[1]=sm_field_cordis_project_subpanel%3ALS8,0
HISTORICALDATABASE,The Swedish historical database project,http://www.aehe.es/2015/09/25/the-swedish-historical-database-project/,0
NEWFQS,New Frontiers in Quantum Simulation,http://sro.sussex.ac.uk/59113/,0
RAIN,Risk Analysis of Infrastructure Networks in response to extreme weather,http://rain-project.eu/,1
SPARC,Sparse Regression Codes,http://projekter.aau.dk/projekter/en/studentthesis/sparse-regression-koder-for-netvaerkedsbaserede-kontrolsystemer(5b272791-79cc-436a-9cd7-c9fb5dd7916d).html,0
DICE,Distributed Cognition Engineering,http://www.istc.cnr.it/it/project/dice-distributed-cognition-engineering,0
DIET AND PERSONALITY,Effect of nutrient intake on the expression of genetic variation in behavioural syndromes,https://www.en.uni-muenchen.de/about_lmu/research/collaborations/eu_proj/7frp/en_7frp_pe/en_7frp_pe_intdim/index.html,0
SCARLET,Scale up of Calcium Carbonate Looping Technology for Efficient CO2 Capture from Power and Industrial Plants,http://www.project-scarlet.eu/,1
POP-CHANGE,Predicting and managing plant population responses in human altered ecosystems,http://people.tcd.ie/Profile?Username=buckleyy,0
I-SURF,Inorganic surfactants with multifunctional heads,http://horizon2020projects.com/es-european-research-council/erc-consolidator-grant-to-investigate-surfactant-systems/,0
MARSUPIA,A Multifunctional AgRiculture for SUstainable PerI urban Areas,https://www.uoguelph.ca/sedrd/sedrd-seminar-presentation-mika%C3%AAl-akimowicz,0
POLYMEIO,The Role of ASY1 in Promoting Meiotic Stability in Polyploid Arabidopsis,http://www.researchranking.org/index.php?action=partner&p=daC,0
NANOCARB,The role of boron in the crystallization and surface properties of CaCO3 at the nanoscale,http://encyclopedia2.thefreedictionary.com/Caco3,0
NETWORKS,Markets and Networks,http://muse.jhu.edu/books/9781610444675,0
IRONWORKS,Geochemical Provenance Mapping of Pre Roman Ironworking sites in Britain,https://www.ucl.ac.uk/archaeology/research/directory/ironworks-charlton,0
GOAL,GOAl Groups and operator algebras,http://www.maths.qmul.ac.uk/sites/default/files/phd%20projects%202015/G&A/li.pdf,0
MOF-ET-WORK,ETHANOL AND ETHYLENE UPGRADE IN METAL ORGANIC FRAMEWORKS NEW SELECTIVITY TARGETS,http://www.iciq.org/research/main-scientific-projects/,0
PERFECT,Pragmatic and epistemic role of factually erroneous cognitions and thoughts,http://www.birmingham.ac.uk/schools/ptr/departments/philosophy/research/projects/perfect.aspx,0
EUGENMAP,Genetic map of European butterflies Continental scale cryptic species assessment and comparisons to North America and Australia,http://www.thefreedictionary.com/DNA+barcode,0
MARAGAS,Investigation of proton rich nuclei using novel techniques,http://acronyms.thefreedictionary.com/JYFL,0
FABIO,Fertilization effect of Aerosols on earth BIOmass,https://www.google.com.au/,0
METAKER,New Directions in Meta Kernelization,http://fpt.wikidot.com/,0
ULTRAFIL,Ultra short pulse fibre laser technology,http://www.aston.ac.uk/eas/research/groups/photonics/aipt-research-projects/?p=2,0
BAG,Benjamini Schramm approximation of Groups and Graphings,http://www.renyi.hu/bag.html,0
STORM,Stemming the rising tide The protective role of saltmarshes,http://www.fao.org/docrep/003/T0708E/T0708E04.htm,0
WADOXA,Ways of Doxastic Agency Information Update Belief Formation and Assessment of Conduct,http://www.thefreedictionary.com/doxastic,0
ELECTROINDOLE,Electrophilic Indoles for the Enantioselective Synthesis of Benzofuroindolines related to Diazonamide A,http://www.thefreedictionary.com/Coupling+reaction,0
CELLSPEX,Multiwavelength cell spectroscopy to define the pathophysiology of mitochondrial disorders in living cells,http://www.hra.nhs.uk/news/research-summaries/cellspex/,0
SUBGRODIS,Application of advanced technologies and stochastic modeling in the study of submarine groundwater discharge,http://encyclopedia2.thefreedictionary.com/Groundwater+discharge,0
VASCO,a Virtual Studio for Security Concepts and Operations,http://vasco.diginext.fr/,1
LTSPD,Learning and Testing Structured Probability Distributions,http://www.research.ed.ac.uk/portal/en/persons/ilias-diakonikolas(d6667408-8b44-4c51-8e24-9422e7d2b2c5).html,0
MIGPROSP,Prospects for International Migration Governance,http://migrationgovernance.org/,0
ENDOFUN,The endodermis unraveling the function of an ancient barrier,https://erc.europa.eu/sites/default/files/document/file/erc_2013_cog_full_results_by_domain.pdf,0
BIOSTRESS,Linking abiotic and biotic stress into the net outcome of plant interactions,http://www.researchranking.org/index.php?action=partner&p=daY,0
AWE,Accurate Waveforms for Extreme Intermediate mass ratio inspirals AWE,http://archive.org/stream/arxiv-1203.6443/1203.6443_djvu.txt,0
WAVE ATTRACTORS,Internal and inertial wave focusing and instability in closed fluid domains,http://journals.cambridge.org/action/displayFulltext?type=8&fid=9208628&volumeId=745&issueId=-1&aid=9208627&bodyId=&membershipNumber=&societyETOCSession=,0
BEATING HEART,Beating Heart,http://www.youtube.com/watch?v=_u-7hxHPfEc,0
PHASE,Phosphonic Acids Surface Electrochemistry,http://www.thefreedictionary.com/Phosphonic,0
GAUGEGRAVSYM,Extended Symmetries in Gauge and Gravity Theories,https://erc.europa.eu/sites/default/files/document/file/erc_2013_cog_full_results_by_domain.pdf,0
NELLHI,New all European high performance stack design for mass production,http://www.fch.europa.eu/project/new-all-european-high-performance-stack-design-mass-production,1
RISKY BRAINS,The Neurobiology of Aggression and Violent Behaviour and Its Social Implications,http://crsc.berkeley.edu/current-research-projects-and-collaborations,0
EVONEURO,Evolution of olfactory circuits,https://telejob.ch/uploads/jobs/15163/PhD_ERC_EvoNeuro_BentonLabUNIL.pdf,0
MATERNA,Somatic cells regulation of maternal mRNA translation in mammalian oocytes,http://www.redbiolab.unimi.it/RedBioLab/materna.html,0
TRIADOL,Reconstructing conditions during dolomite formation in evaporative Triassic environments,http://www.tendersinfo.com/details/31885324,0
DARK,Dark matter of the human transcriptome Functional study of the antisense Long Noncoding RNAs and Molecular Mechanisms of Action,https://en.wikipedia.org/wiki/Long_non-coding_RNA,0
WEBMAP,Mapping the Dark Web of the Cosmos,http://www.thefreedictionary.com/cosmic+web,0
HR_ESR,Developing High Resolution Electron Spin Resonance ESR dating of fossil teeth contribution to the chronology of early hominid occupations in the Mediterranean area,http://www.thefreedictionary.com/geochronological,0
FIRST,Fundamental investigations of high resolution LA ICPMS Fast Imaging Resolution Sensitivity and Time FIRST,http://www.researchgate.net/publication/51175762_Quantitative_Chemical_Imaging_of_Element_Diffusion_into_Heterogeneous_Media_Using_Laser_Ablation_Inductively_Coupled_Plasma_Mass_Spectrometry_Synchrotron_Micro-X-ray_Fluorescence_and_Extended_X-ray_Absorption_Fine_Structure_Spectroscopy,0
STAPHYLOMICS,Identifying host factors involved in staphylococcal infection,http://www.universiteitleiden.nl/en/staffmembers/tomasz-prajsnar,0
NATIVE INQUISITION,The Native Peoples and the Portuguese Inquisition,https://en.wikipedia.org/wiki/Medieval_Inquisition,0
PROTCAGE,Chemistry in the Confinement of Protein Cages,http://medical-dictionary.thefreedictionary.com/Organelles,0
MODENADYNA,MODeling Electron Non Adiabatic DYNAmics,http://www.researchranking.org/index.php?action=partner&p=do,0
HYPERSCANNING 2.0,Hyperscanning 2 0 Analyses of Multimodal Neuroimaging Data Concept Methods and Applications,http://www.skymem.com/xdoc/document-2015-8-25t19-50-03-6311z-477e3212a9f54fb4a504c0890045572b,0
BRUS,The end Cretaceous extinction and Paleogene recovery of mammals evolution during a period of intense environmental change,http://www.research.ed.ac.uk/portal/en/projects/brus-the-endcretaceous-extinction-and-paleogene-recovery-of-mammals-evolution-during-a-period-of-intense-environmental-change(76d36ba3-cbd8-41d8-a5d8-03a668521bf2).html,0
CAMVAS,Coordination And Migration of Cells during 3D Vasculogenesis,http://www.ibecbarcelona.eu/marie-curie-iof-for-ibec-researcher/,0
MEMOPHI,Medieval Philosophy in Modern History of Philosophy,https://www.memophi.uni-freiburg.de/,0
DIESEL,Developing Improved Estimations of Soil CO2 Effluxes at ecosystem Level,http://www.researchranking.org/index.php?action=partner&p=doq,0
SECA,SYSTEMIC EFFECTS OF THE COMBINATION OF ABIOTIC STRESSES,https://www.biologie.uni-hamburg.de/biozentrum-klein-flottbek/forschung/mpg-kehr/drittmittelprojekte/projekt3.html,0
COOPSS,Cooperation in Service Systems and Service Supply Chains,http://tto.ozyegin.edu.tr/en/two-eu-fp7-marie-s-curie-cig-have-been-granted-to-faculty-of-ozyegin-university-10122013/,0
HEADS-UP,The modulation of vestibular reflexes during self generated head neck movements,https://www.researchgate.net/publication/271535439_Task_muscle_and_frequency_dependent_vestibular_control_of_posture_Front_Integr_Neurosci_894,0
RATIONAL HIV VACCINE,Rational HIV vaccine design via mammalian cell display,http://www.thefreelibrary.com/RATIONAL+HIV+VACCINE%3A+Rational+HIV+vaccine+design+via+mammalian+cell+...-a0389957994,0
ISO-FOOD,ERA CHAIR FOR ISOTOPE TECHNIQUES IN FOOD QUALITY SAFETY AND TRACEABILITY,http://isofood.eu/,1
GW ASAP,Gravitational Wave Astrophysics and Analysis with Pulsars,https://ligo.caltech.edu/~weekly/pastreports/weekly2010/weekly20100422.html,0
ASCENT,ASCENT Advanced Solid Cycles with Efficient Novel Technologies,http://www.ascentproject.eu/,1
TELESTES,TELESTES Musics cults and rites of a Greek city in the West,http://www.academia.edu/6804410/TELESTES._Musics_cults_and_rites_of_a_Greek_city_in_the_West._PEOPLE_MARIE_CURIE_ACTIONS._International_Outgoing_Fellowships_for_Career_Development,0
HIGEOM,Highly accurate Isogeometric Method,http://www-dimat.unipv.it/sangalli/higeom/index.html,0
MINERVA,Communication Theoretical Foundations of Nervous System Towards BIO inspired Nanonetworks and ICT inspired Neuro treatment,http://nwcl.ku.edu.tr/minerva.html,1
EAGLE,Exploring quantum Aspects of GravitationaL wavE detectors,https://en.wikipedia.org/wiki/List_of_atheists_in_science_and_technology,0
FIRMSFLUCTUATIONS,Firms International Trade and Aggregate Fluctuations,http://issuu.com/universitatpompeufabra/docs/revista_7pmcast,0
CICHLIDX,An integrative approach towards the understanding of an adaptive radiation of East African cichlid fishes,http://www.mn.uio.no/cees/english/research/projects/650159/index.html,0
CONTRASST,Landscape connectivity for Cat species transcending structures scales and climates,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/menschen/internationale_dimension_eingehende_und_ausgehende_fellowships_iofiif/contrasst/,0
IMMR,Mechanisms of Mismatch repair inactivation and identification of genes suppressing mutations,http://www.ok.ctrl.titech.ac.jp/res/PCS/research/shorttyping/ShortTyping.jar,0
ENLIGHTENED,Nanophotonic Nanomechanical Mass Spectrometry for Biology and Health,https://erc.europa.eu/nanophotonic-nanomechanical-mass-spectrometry-biology-and-health,0
CARTILAGE TGF-BETA,Functional role of endogenous latent TGF beta activation in the intrinsic repair of mechanically loaded articular cartilage,http://medical-dictionary.thefreedictionary.com/TGF-beta,0
FLUOCOORCHEM,Fluorinated Weakly Coordinating Anions for Coordination Chemistry of Unusual Ligands,http://encyclopedia2.thefreedictionary.com/structural+information,0
CROWDLAND,Harnessing the power of crowdsourcing to improve land cover and land use information,https://erc.europa.eu/sites/default/files/document/file/erc_2013_cog_full_results_by_domain.pdf,0
PROTEUS,Proteomic investigations of ubiquitin signals in DNA repair and chromatin organization,http://www.mdpi.com/journal/ijms/special_issues/advances_proteomic_research,0
NEAT BIO-ADHESIVES,A New Molecular Approach for Designing Bio Adhesive Materials,http://www.mrs.org/fall-2014-program-b/,0
EARLY RECOVERIES,Early Multisensory Rehabilitation of Cognitive and Perceptual Functions for Stroke Patients with Unilateral Neglect,http://www.academia.edu/3999286/STROKE_REHAB,0
VISQC,Visualizing cell maintenance Chemical tools to investigate the microenvironments of misfolded proteins,http://www.researchranking.org/index.php?action=partner&p=diK,0
DISTINCT,Determining how invasive S Typhimurium infects human cells by transposon insertion sequencing,https://www.researchgate.net/publication/235885323_A_comparison_of_dense_transposon_insertion_libraries_in_the_Salmonella_serovars_Typhi_and_Typhimurium,0
MAGNUS,MULTIFUNCTIONAL COMPOSITE AEROSTRUCTURES UTILISING CARBON NANOTUBE WEBS,http://cimcomp.ac.uk/research/feasibility-studies/multifunctional-hierarchical-composite-structures-utilising-carbon-nanotube-webs/,1
HUMROBCOOPERATION,Understanding human cooperation with humanoid robots analysis from a social psychological perspective,http://www.researchgate.net/publication/283014255_Potential_of_Robotics_for_Ambient_Assisted_Living,0
MAMLS,Matter antimatter and Lorentz symmetry tests,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/menschen/internationale_dimension_eingehende_und_ausgehende_fellowships_iofiif/mamls/,0
SECOND ACT,Simulation Statistics and Experiments Coupled to develop Optimized aNd Durable CHP systems using ACcelerated Tests,http://www.fch.europa.eu/project/simulation-statistics-and-experiments-coupled-develop-optimized-and-durable-%CE%BCchp-systems,1
SCCOMPLEXITY,Understanding and Defining Supply Chain Complexity A Mixed Method Approach for Basic and Applied Research,http://research.fh-ooe.at/en/orgunit/342,0
HTSP,Hitting Times for Stochastic Processes,http://www.science.gov/topicpages/s/sar+study+revealed.html,0
MIGRATION,The most cosmopolitan animal migration phylogeography and population genomics of the butterfly Vanessa cardui,http://legal-dictionary.thefreedictionary.com/migratory,0
ENAC_IN_ANSCS,The role of epithelial sodium channels in adult neural stem cells,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/menschen/internationale_dimension_eingehende_und_ausgehende_fellowships_iofiif/enac_in_anscs/,0
NEWEPOXY,New Generation High performance Fire Retardant Epoxy Nanocomposites Structure Property Relationship,http://www.materials.imdea.org/research/projects/NEWEPOXY,1
PHANES,Multi cellular hybrid bio MEMS,http://phanes.mauriziogullo.com/about/,1
THREE-S,Smart multi Stimuli responsive Supports for controlled cell growth,http://www.if.tugraz.at/web.php?249,0
INTERSEXIONS,The Sociological Aspects of the Management of Intersexuality,http://www.tendersinfo.com/projects_details/32078590,0
INTTOPSUP,Transport Properties of Emergent Edge States in Interacting Topological Superconductors,http://encyclopedia2.thefreedictionary.com/Scattering+theory,0
NANODAOHP,Nanoparticle based direct absorption oscillating heat pipes for solar thermal systems,http://medical-dictionary.thefreedictionary.com/transfer+devices,0
GREENTEMP,Investigation of Greenland temperature variability over the 6000 years using trapped air in ice cores,http://www.unibe.ch/unibe/portal/content/e1133/e1172/e212217/e276986/section276987/files212292/EUProjects_2015_Dec_ger.pdf,0
CANCERHYDROGELPATCH,Hydrogel nanoparticle patches as prophylactic scaffold agents for in vivo local gene drug delivery in colorectal cancer tumours,http://www.sems.qmul.ac.uk/research/projects/?rid=1046,0
ICANSENSE,Ion ChaNnel SENSors,http://www.rug.nl/staff/a.kocer/cv,0
ELECTRA,ELECTRA,http://www.electraproject.eu/,1
PLASM-ON-FIBRE,Advanced plasmonic on fibre devices for optical communication and sensing applications,http://www.aston.ac.uk/eas/research/groups/photonics/aipt-research-projects/?entryid38=224122&p=3,0
OCEANDATAMODELS,Statistical modelling and estimation for spatiotemporal data with oceanographic applications,http://medical-dictionary.thefreedictionary.com/Statistical+science,0
ERKMEM,Erk1 2 SIGNALING IN MEMORY CONSOLIDATION AND ALLOCATION,http://www.ub.edu/web/ub/ca/recerca_innovacio/recerca_a_la_UB/projectes/fitxa/E/PE001061/index.html,0
ODIN,ORCID and DATACITE Interoperability Network,http://odin-project.eu/,1
EARTHSEQUENCING,A new approach to sequence Earth history at high resolution over the past 66 million years,http://www.uni-bremen.de/en/research/external-funding-of-research/eu-funding/ideas.html,0
LAPITH,Locating and Performing Irish Theatre Histories,http://www.lost-theatres.net/,1
NANOPV,Spectroscopic insight with nanoscale resolution on model photovoltaic systems,http://rac.berkeley.edu/ra/awards201106.html,0
THEIA,Route to guided TeraHertz backscattering Inspection and Analysis,http://sbir.nasa.gov/SBIR/abstracts/12-1.html,0
TRANSSEC,Transnational Security Law,http://www.gla.ac.uk/schools/law/staff/robingeiss/,0
ALGAEOILSYNTH,Towards improving biofuel production Oil synthesis and accumulation pathways in promising oleaginous microalgae,https://www.uni-goettingen.de/de/fp7/524080.html,0
DEPRIVEDHOODS,Socio spatial inequality deprived neighbourhoods and neighbourhood effects,http://deprivedhoods.eu/,1
ADOC,Advance Optical Clocks,https://erc.europa.eu/projects-and-results/erc-funded-projects/quest-0,0
ASADO-CH,Development and application of Artificial Systems for Activation of DiOxygen and C H bonds,http://www.researchranking.org/index.php?action=partner&p=dZo,0
MPFP,Membrane protein dynamics and interactions,http://www2.warwick.ac.uk/fac/med/staff/projects/?View=Current&id=3ef91SIKdT8%3D,0
CIDA,Citizenship in a Digital Age,http://www.acdi-cida.gc.ca/cidaweb/cpo.nsf/fWebCSAZEn?ReadForm&idx=00&CC=TZ,0
SMILE,Single Molecule Investigations in Living E coli,http://www.yale.edu/ynhti/curriculum/units/1996/5/96.05.01.x.html,0
MRNA IN HEART,mRNA translational regulation in heart failure,http://circ.ahajournals.org/content/114/12/1269.full,0
IMPLOADIS,Spatiotemporal Distribution and Structural impact Loading due to Artificial Debris Objects in Violent Flows,http://profs.engineering.uottawa.ca/nistor/graduate-students/graduate/,0
NANODISCAN,Nano technology enabled repositioning of Disulfiram as an anti cancer stem cell agent,http://www.wlv.ac.uk/about-us/our-schools-and-institutes/faculty-of-science-and-engineering/all-faculty-staff/school-of-pharmacy-staff/james-tang/,0
COMANCHE,Coherent manipulation and control of heat in solid state nanostructures the era of coherent caloritronics,http://www.nano.cnr.it/?mod=men&id=104,0
EAGLE,Exploiting semAntic and social knowledGe for visuaL rEcognition,https://about.me/lambertoballan#!,0
OPTORIBO,Optogenetic control of cellular behaviour by allosteric ribonucleic acid assemblies,https://www.uni-bonn.de/forschung/forschungsprofil/erc-grants/optoribo,0
SRF-OZO,Impact of poplar bioenergy cultivation on ozone and volatile organic compound emissions,https://www.uantwerpen.be/en/rg/pleco/research/research-topics/bio-energy/,0
ANTI-ANGIOGENIC DRUG,Multifunctional Polymeric Nanomicelles Combat Tumor Evasion in Antiangiogenic Cancer Therapy,http://www.medworm.com/rss/medicalfeeds/therapies/Cancer-Therapy.xml,0
ATMOSOCEAN,Response of the Atmospheric and Oceanic Circulation to a Warming Climate,http://www.researchgate.net/publication/257412171_Transient_hysteresis_of_near-surface_permafrost_response_to_external_forcing,0
NONSPHEREFLOW,Multiscale modelling of gas fluidized flows of non spherical particles,https://erc.europa.eu/multiscale-modelling-gas-fluidized-flows-non-spherical-particles,0
EPICS,Epigenetics of Cnidarian Stem Cells,http://www.thefreedictionary.com/cnidarian,0
ARK OF INQUIRY,Ark of Inquiry Inquiry Awards for Youth over Europe,http://www.utu.fi/en/units/edu/research/highlights/flagshipresearchprojects/Ark-of-Inquiry,0
DREADS,Drivetrain Rolling Elements in Aeronautics Design and Sizing for,http://archive.org/stream/NEW_1/NEW.txt&sa=U&ei=dbWhU_r0ELLY7,0
ARCHOSAUR RISE,The early Mesozoic rise of archosaurs New insights into an exemplar evolutionary radiation,http://www.archosauromorpha.com/news/posts.xml,0
MINEPEP,Establishing of a novel technology platform for bio based mineral processing Development of peptides as agents for the separation of rare earth minerals via bio flotation,http://www.hzdr.de/db/Cms?pOid=45164&pNid=3479,0
ERBT,Fear Conditioning and Extinction in Anxious Youth Identifying Neuro cognitive Abnormalities and Their Relation to Pediatric Anxiety Treatment Outcomes,http://www.science.gov/topicpages/o/occipitofrontal+circumference+ofc.html,0
TMIRP,Topological Methods for Intertheoretic Reduction in Physics,https://www.en.uni-muenchen.de/about_lmu/research/collaborations/eu_proj/7frp/en_7frp_pe/en_7frp_pe_intdim/index.html,0
LIFTING TANKS,Seismic Analysis of Liquid Storage Tanks with a Focus on Tank Base Uplift,http://tto.ozyegin.edu.tr/en/bulent-erkmen-has-succeeded-the-first-fp7-marie-curie-iif-project-of-ozyegin-university-10122013/,0
GT5LD2013,Gauge theories in 5 and lower dimensions string perspective holographic avatars and exact results,http://www.uniovi.es/documents/31582/22909030/GT5LD.compressed.pdf/8dc6f17d-2fe1-4d21-beb7-18fd4ebe9684,0
ACCA,Atmospheric Carbon Capture,http://www.eng.ed.ac.uk/research/projects/acca-atmospheric-carbon-capture,0
CODEC,Cellular Network based Device to Device Wireless Communications,https://en.wikipedia.org/wiki/GSM,0
ARCHFACT,Building an archive of conflicting memories A history of Carlos Casado s tannin factory in Paraguay 1889 2001,http://www.unive.it/media/allegato/AREA%20RICERCA/Progetti%20FINANZIATI/ARCHFACT_2013.pdf,0
HEXAFLY-INT,High Speed Experimental Fly Vehicles International,http://www.transport-research.info/project/high-speed-experimental-fly-vehicles-international,1
DESERTECTION,Social challenges of trans Mediterranean renewable power cooperation,https://erc.europa.eu/sites/default/files/publication/files/VILNIUS_Brochure_0.pdf,0
BETACURE,Personalized diagnosis and treatment of hyperinsulinemic hypoglycaemia caused by beta cell pathology,http://earl.eanm.org/cms/website.php?id=/en/projects/taskforce-eu_grants/betacure.htm,1
ACTIVE SNIFFING,The Algorithmic and Neuronal Basis of Active Sensing in the Case of Odor Trail Tracking,http://www.researchranking.org/index.php?action=project&p=dHz,1
HIIT AGEING,The impact of High Intensity Interval Training on inflammatory state and immune function in elderly individuals,https://open.library.ubc.ca/handle/2429/54139,0
REDHIS,Rediscovering the hidden structure A new appreciation of Juristic texts and Patterns of thought in Late Antiquity,http://redhis.unipv.it/,0
MEM_DISTRACTION,On the neural basis of working memory How the brain retains information in the face of distraction,http://www.researchranking.org/index.php?action=partner&p=diK,0
GBR,Genius before Romanticism Ingenuity in Early Modern Art and Science,https://ingenuitycrassh.wordpress.com/,0
3D BIOMIMETICS,Scaffold Based Supramolecular Architectures as Protein Epitope Mimetics for Biomedical Applications,http://bioorgunimib.com/btbs/collaborations-and-sponsors/,0
MILK PEPPER,Milk Powder for Enhancing Probiotic PERformance,https://www.scribd.com/doc/99203407/Amul-Project-Report,0
DNCURE,Dynamic signalling networks in Diabetic Nephropathy DN New avenues to a personalized therapy,https://erc.europa.eu/sites/default/files/document/file/erc_2013_cog_full_results_by_domain.pdf,0
GLYCOTARGET,Exploring the targeted delivery of biopharmaceuticals enabled by glycosylation control,https://erc.europa.eu/sites/default/files/document/file/erc_2013_cog_full_results_by_domain.pdf,0
SQSNP,Simulating quantum systems numerically and physically,http://encyclopedia2.thefreedictionary.com/Many-body+system,0
VIVARNASILENCING,Antiviral Defense in the Vector Mosquito Aedes aegypti induction and suppression of RNA silencing pathways,http://vanrijlab.org/news-events/,0
TOLERATES,Understanding evolutionary rates on the Tree of Life in time and space,http://www.tendersinfo.com/projects_details/32169546,0
MACROCOLL,The Macroeconomics of Collateral,https://erc.europa.eu/sites/default/files/document/file/erc_2013_cog_results_sh.pdf,0
GRASSWALL,Maize Candy leaf mutants a tool for the study of grass specific cell wall biology with potential applications in renewable energy production and cereal crop pathogen protection,http://www.thefreedictionary.com/valorise,0
FCFP,FCFP FRIAS COFUND Fellowship Programme,http://www.frias.uni-freiburg.de/en/news/call-for-applications/cfa-fcfp,0
SEXYPARTH,Unraveling sex determination and parthenocarpy mechanisms to improve crops,http://www.researchranking.org/index.php?action=partner&p=daC,0
RSHEALTH,Investigating the causes and consequences of replication stress in mammalian health,https://www.cnio.es/ing/sr/docs/14/19-facts%20and%20figures/00%20facts%20and%20figures.pdf,0
BLOODY SIGNALS,Multidimensional analysis of signaling during normal hematopoietic differentiation and stress induced regeneration,http://etd.library.vanderbilt.edu/ETD-browse/browse?keywords=by_department;browse_by=department;first_letter=all,0
MEDPOL,Molecular Dissection of Immunomodulatory Function of Polysaccharides,http://www.ifr.ac.uk/about/websites/,1
GRAQUADOT,Novel ultrasensitive imaging sensors based on graphene quantum dot hybrid technology,http://www.ub.edu/web/ub/en/menu_eines/noticies/2013/09/042.html???%20peu.google.url%20,0
MICP,Monitoring Intracranial Pressure,http://noninvasiveicp.com/node/475,0
DDREGULATION,Regulation of DNA damage responses at the replication fork,http://encyclopedia2.thefreedictionary.com/Replication+fork,0
CAPTURE,Capture of mineral particles by rising bubbles,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/menschen/internationale_dimension_eingehende_und_ausgehende_fellowships_iofiif/capture/,0
SKYHIGH,Skyrmion devices and their high frequency dynamics,http://www.researchranking.org/index.php?action=partner&p=djl,0
STARKEY,Solving the TP AGB STAR Conundrum a KEY to Galaxy Evolution,http://starkey.astro.unipd.it/,1
MODEL SELECTION,Application of Model Selection Principles to Distinguish Network and Latent Variable Models of Psychological Constructs,https://en.wikipedia.org/wiki/Structural_equation_modeling,0
INFOASYMMARKETS,Decentralized Markets with Informational Asymmetries,http://www.carloalberto.org/research/eu-funded-projects/infoasymmarkets/,0
EXQUISITE,External Quantum Control of Photonic Semiconductor Nanostructures,https://erc.europa.eu/external-quantum-control-photonic-semiconductor-nanostructures,0
HELMETH,Integrated High Temperature Electrolysis and Methanation for Effective Power to Gas Conversion,http://www.helmeth.eu/,1
FORECASTING,New Methods and Applications for Forecast Evaluation,http://www.poms.ucl.ac.be/etudes/notes/prod2100/cours/Part%206-Forecast.pdf,0
STEMCELL2MAX,A novel solution to efficient Haematopoietic Stem Cell regeneration,http://www.scienceportugal.com/en/institutions/,0
HICCUP,High Impact Cross section Calculations for Unprecedented Precision,http://cerneu.web.cern.ch/fp7-projects,1
OCEANTUNEIN,Oceanic tunas as indicators of ecosystem health,http://mariajosejuanjorda.info/Maria_Site/About_me.html,0
SYNMICS,Exploiting Synergistic Properties of Mesoionic Carbene Complexes Teaching Rusty Metals Challenging Catalysis,http://www.unibe.ch/unibe/portal/content/e1133/e1172/e212217/e276986/section276987/files212292/EUProjects_2015_Dec_ger.pdf,0
MUSCLE-NET,Coactivator controlled transcriptional networks regulating skeletal muscle cell plasticity,https://erc.europa.eu/sites/default/files/document/file/erc_2013_cog_full_results_by_domain.pdf,0
